證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用K值,排名
3702,大聯大       ,200612,12037,11.83,0.82239400675902,0.64259,0.065229,0.037102,0.11438,0.023779,0.011933,2.0828,177.4,105.88,8.27,6.35,1254.86,491.04,136.4328,1,2006,0.6666666666666666,2005,2006,9,7
5483,中美晶       ,200612,17267,59.38,0.82407821336638,2.1928,2.4109,0.12892,0.17927,0.23009,0.19714,0.3906,155.53,94.74,4.12,6.72,432.12,287.28,200.7747,1,2006,0.6666666666666666,2005,2006,9,8
9940,信義         ,200612,17294,42.5,0.692818413831729,2.2392,1.3705,0.20602,0.34343,0.25392,0.21456,0.66695,280.67,275.78,0.0,9.76,40.23,39.41,0.91765,-1,2006,0.6666666666666666,2005,2006,9,9
2362,藍天         ,200612,17779,26.35,0.769596929272335,2.376,1.4566,0.010797,0.034395,-0.050225,0.021117,2.1857,65.72,38.72,6.71,11.16,-17.23,145.41,48.5389,1,2006,0.6666666666666666,2005,2006,9,10
1102,亞泥         ,200712,129624,38.71,0.80107575696612,1.4635,2.9663,0.078807,0.13238,0.1051,0.28305,0.67978,161.3,114.41,7.1,5.95,10.61,40.57,-32.2397,1,2007,1.0,2006,2007,3,1
3443,創意         ,200712,25228,188.24,0.402351616935948,9.3979,3.0955,0.20193,0.31817,0.10564,0.10482,0.57566,217.18,140.31,7.51,8.79,231.82,208.72,-42.9186,1,2007,1.0,2006,2007,3,2
2504,國產         ,200712,17576,12.59,0.579884973281289,0.85588,0.79133,0.040671,0.064607,0.04933,0.06103,0.58852,138.82,107.06,10.35,3.31,-26.57,7.93,-31.8507,1,2007,1.0,2006,2007,3,3
2607,榮運         ,200712,16167,14.36,0.700850072786061,0.78728,2.3087,0.037153,0.046014,0.13598,0.1355,0.23851,203.9,189.94,0.0,8.71,7.22,-29.94,22.9805,1,2007,1.0,2006,2007,3,4
2449,京元電       ,200712,19192,14.23,0.275431379860917,0.76547,1.1712,0.0488,0.087565,0.15131,0.13813,0.79437,124.73,111.87,86.48,3.7,-24.32,-30.71,-49.9649,1,2007,1.0,2006,2007,3,5
2337,旺宏         ,200712,45750,11.64,0.588361684613539,0.98644,1.4024,0.10298,0.12782,0.15087,0.18354,0.24118,405.73,311.17,3.62,8.03,104.05,131.4,-36.6838,1,2007,1.0,2006,2007,3,6
2362,藍天         ,200712,26417,39.14,0.198736750098921,3.1312,1.4044,0.050292,0.175,0.050873,0.07865,2.4797,96.85,52.76,5.57,14.72,262.98,499.27,-39.4737,1,2007,1.0,2006,2007,3,7
1704,榮化         ,200712,20801,29.56,0.519716157920878,1.569,0.35321,0.035383,0.08007,0.04788,0.025657,1.263,152.56,113.85,9.72,13.7,14.04,-46.35,-38.7348,1,2007,1.0,2006,2007,3,8
2409,友達         ,200712,499440,53.31,0.927488007179428,1.4285,0.86796,0.091371,0.18755,0.13177,0.11749,1.0526,124.84,95.87,10.14,7.18,345.09,521.07,-55.4305,-1,2007,1.0,2006,2007,3,9
9945,潤泰新       ,200712,20539,25.07,0.890036233228213,1.9586,1.0283,0.047226,0.10908,0.048378,0.063169,1.3098,134.45,30.81,1.58,14.17,-55.79,-23.91,-32.6685,1,2007,1.0,2006,2007,3,10
3195,統寶         ,200812,8448,4.12,0.295180804029962,0.78927,0.52284,-0.055047,-0.11669,-0.064979,-0.077366,1.1198,88.36,53.13,7.92,6.33,58.18,53.4,175.9709,1,2008,0.8571428571428571,2007,2008,7,1
2106,建大         ,200812,7525,11.72,0.575183612467853,0.75273,0.29285,0.025135,0.052523,0.040016,0.020512,1.0897,136.49,82.83,5.86,7.05,-19.42,-10.43,184.5563,1,2008,0.8571428571428571,2007,2008,7,2
1605,華新         ,200812,20392,6.36,0.97301362389282,0.38038,0.1269,-0.051348,-0.093346,-0.0070494,-0.031833,0.8179,107.09,61.83,8.85,14.35,-142.82,-435.15,87.8931,-1,2008,0.8571428571428571,2007,2008,7,3
1210,大成         ,200812,11306,21.32,0.898376325005631,1.0172,0.12432,0.036428,0.066264,0.019521,0.012525,0.81906,156.24,80.6,11.53,16.78,-15.95,-23.6,51.8293,-1,2008,0.8571428571428571,2007,2008,7,4
8069,元太         ,200812,9903,14.15,0.798370257830259,1.5314,0.78918,-0.038205,-0.1167,-0.080414,-0.073112,2.0545,68.16,28.89,4.21,10.69,-166.32,-201.36,495.053,1,2008,0.7142857142857143,2007,2008,7,5
3474,華亞科       ,200812,26900,7.91,0.0733616900804668,0.52663,0.70311,-0.16463,-0.4345,-0.50413,-0.58008,1.6392,51.41,38.02,13.62,7.99,-698.12,-2449.45,234.3869,1,2008,0.7142857142857143,2007,2008,7,6
2603,長榮         ,200812,47291,15.45,0.570682850481878,0.74782,0.36664,0.0047923,0.0094406,0.021933,0.0049555,0.96992,165.73,145.77,0.0,9.54,-72.59,-91.52,15.534,-1,2008,0.7142857142857143,2007,2008,7,7
8046,南電         ,200812,42652,61.26,0.571829636228848,1.0557,0.97844,0.14986,0.18717,0.18775,0.17347,0.24897,456.56,393.24,8.6,4.82,-21.84,-22.11,92.7849,-1,2008,0.7142857142857143,2007,2008,7,8
3702,大聯大       ,200812,12128,12.4,0.964291730299559,0.65539,0.0671,0.043302,0.12477,0.020757,0.012857,1.8813,155.61,92.88,9.26,7.25,-25.17,-29.58,270.3226,1,2008,0.7142857142857143,2007,2008,7,9
5522,遠雄         ,200812,16917,20.9,0.527882687738647,0.7869,0.82251,0.08523,0.22437,0.28767,0.23474,1.6326,158.2,7.36,0.33,20.53,14.05,-4.93,208.7081,1,2008,0.7142857142857143,2007,2008,7,10
