證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,訓練年份,測試年份,使用模型,特徵選擇方法
2384,勝華         ,199812,9707,15.98,0.0604711791698936,0.90028,0.6703,0.10278,0.21049,0.20779,0.15676,1.048,140.8,40.24,1.73,7.62,6.5,16.32,80.2879,1,1998,1997,1998,LogisticRegression,f_classif
2331,精英         ,199812,9644,15.67,0.399257770613576,2.437,0.19272,-0.18858,-0.94309,-0.07175,-0.090123,4.001,70.91,38.09,6.9,5.52,-9.73,-91.54,80.1532,1,1998,1997,1998,LogisticRegression,f_classif
2523,德寶         ,199812,9641,13.39,0.526875830508296,1.0372,0.78997,0.07328,0.12145,0.086671,0.092532,0.65729,182.86,91.25,8.71,4.25,35.45,3.57,-45.183,-1,1998,1997,1998,LogisticRegression,f_classif
2438,英誌         ,199812,9630,34.78,0.416799467930787,1.2399,0.91047,0.037822,0.078308,0.083805,0.05984,1.0705,118.37,75.67,3.91,2.9,16.31,-18.67,-19.8965,-1,1998,1997,1998,LogisticRegression,f_classif
2379,瑞昱         ,199812,9547,17.07,0.656859890973707,0.79285,0.90557,0.15551,0.18161,0.22675,0.20742,0.16779,474.77,394.1,5.05,5.31,41.93,4.27,113.0053,1,1998,1997,1998,LogisticRegression,f_classif
2348,力廣         ,199812,9492,138.18,0.627973359190104,10.4761,3.07,-0.092893,-0.25431,-0.035676,-0.074532,1.7377,125.68,88.02,4.95,3.46,-213.85,-274.78,19.0042,1,1998,1997,1998,LogisticRegression,f_classif
1726,永記         ,199812,9451,32.54,0.291984079961715,1.3496,0.818,0.13722,0.1788,0.13472,0.10837,0.30302,320.54,227.65,5.52,3.87,-17.74,-6.42,-25.5993,-1,1998,1997,1998,LogisticRegression,f_classif
1517,利奇         ,199812,9445,32.83,0.43165117024872,1.8803,1.9982,0.14197,0.17372,0.2283,0.18463,0.22363,447.79,403.06,8.0,2.69,104.47,28.29,-51.2336,-1,1998,1997,1998,LogisticRegression,f_classif
5313,皇旗         ,199812,9428,35.59,0.015487125636019,2.2327,0.74503,0.032553,0.08949,0.056824,0.029862,1.749,171.17,94.72,3.41,3.31,42.35,86.54,-24.6979,-1,1998,1997,1998,LogisticRegression,f_classif
2107,厚生         ,199812,9382,20.62,0.984063724379154,1.6313,3.6239,0.036375,0.059061,0.041937,0.13118,0.62364,124.64,71.34,1.98,8.2,-56.67,17.25,-44.1804,-1,1998,1997,1998,LogisticRegression,f_classif
2355,敬鵬         ,199812,9293,15.84,0.106216344928664,0.52712,0.6807,0.07771,0.099214,0.10331,0.12813,0.27672,268.7,240.58,11.4,4.69,23.98,21.12,-2.5884,-1,1998,1997,1998,LogisticRegression,f_classif
2606,裕民         ,199812,9131,4.02,0.372409740055537,0.31308,0.64013,0.0062717,0.013787,0.13161,0.028172,1.1983,131.67,114.51,0.0,16.62,-33.2,-83.37,-11.194,-1,1998,1997,1998,LogisticRegression,f_classif
2614,東森         ,199812,8173,7.22,0.301454948712065,0.62892,0.87409,0.030447,0.080252,0.055117,0.13007,1.6358,185.92,136.52,1.19,18.18,-43.2,-1.67,31.856,1,1998,1997,1998,LogisticRegression,f_classif
2910,統領         ,199812,8107,27.46,0.666338851584426,1.782,1.2754,0.11443,0.14324,0.086836,0.10252,0.25173,85.59,73.31,56.19,212.19,-6.4,48.67,12.0175,1,1998,1997,1998,LogisticRegression,f_classif
1201,味全         ,199812,8046,15.64,0.698105520180308,1.1022,0.32536,-0.03757,-0.15561,0.0032509,-0.045931,3.142,96.58,61.34,8.27,8.67,498.85,-2432.16,-48.7212,-1,1998,1997,1998,LogisticRegression,f_classif
2336,D 致伸       ,199812,8046,15.9,0.666527913402587,0.7883,0.32245,0.022278,0.045795,-0.0089472,0.018788,1.0556,200.84,128.09,5.44,5.25,-133.78,-66.41,28.239,1,1998,1997,1998,LogisticRegression,f_classif
5007,三星         ,199812,7938,21.61,0.999080394761361,1.2006,0.86302,0.055081,0.10512,0.093426,0.075589,0.90854,85.48,45.86,5.23,6.83,73.85,76.69,-71.3096,-1,1998,1997,1998,LogisticRegression,f_classif
