證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,prediction_proba,訓練年份,測試年份,使用準則,最大深度,排名
3045,台灣大       ,200712,217540,44.02,0.0470777095488339,3.3629,1.6202,0.067459,0.20407,0.32227,0.10005,2.0251,30.68,28.58,306.12,9.87,10.18,-58.24,-5.9746,1,2007,1.0,2006,2007,gini,5,8
3367,英華達       ,200712,30056,44.22,0.973704902674984,1.5344,0.22036,0.085826,0.24413,0.039469,0.035067,1.8445,126.37,91.95,10.6,6.37,47.12,58.17,-59.498,-1,2007,1.0,2006,2007,gini,5,9
2615,萬海         ,200712,61132,25.46,0.599438249091412,1.5591,0.86452,0.07302,0.18576,0.10351,0.10317,1.544,159.76,150.86,0.0,15.5,95.18,102.55,-44.4226,1,2007,1.0,2006,2007,gini,5,10
8046,南電         ,200812,42652,61.26,0.571829636228848,1.0557,0.97844,0.14986,0.18717,0.18775,0.17347,0.24897,456.56,393.24,8.6,4.82,-21.84,-22.11,92.7849,-1,2008,1.0,2007,2008,gini,7,1
8069,元太         ,200812,9903,14.15,0.798370257830259,1.5314,0.78918,-0.038205,-0.1167,-0.080414,-0.073112,2.0545,68.16,28.89,4.21,10.69,-166.32,-201.36,495.053,1,2008,1.0,2007,2008,gini,7,2
3189,景碩         ,200812,13736,28.82,0.237868792007306,0.72032,1.0522,0.1098,0.1232,0.1962,0.17997,0.12203,527.7,484.91,10.38,6.07,-36.28,-43.16,186.9535,1,2008,1.0,2007,2008,gini,7,3
9940,信義         ,200812,7336,18.75,0.489915162413395,1.3167,0.95323,0.10833,0.19136,0.14888,0.1411,0.76649,89.71,83.5,0.0,12.15,-32.16,-27.43,161.3333,1,2008,1.0,2007,2008,gini,7,4
3008,大立光       ,200812,26482,191.47,0.822326222185306,2.0885,3.3317,0.23771,0.27176,0.41955,0.43355,0.14326,496.64,444.99,5.58,4.57,7.57,26.17,116.2898,1,2008,1.0,2007,2008,gini,7,5
3474,華亞科       ,200812,26900,7.91,0.0733616900804668,0.52663,0.70311,-0.16463,-0.4345,-0.50413,-0.58008,1.6392,51.41,38.02,13.62,7.99,-698.12,-2449.45,234.3869,1,2008,1.0,2007,2008,gini,7,6
2337,旺宏         ,200812,27046,7.37,0.585043615268716,0.62247,0.93885,0.10172,0.12155,0.16735,0.18424,0.19492,475.11,360.79,2.98,8.8,7.2,-5.34,130.3935,1,2008,1.0,2007,2008,gini,7,7
8072,陞泰         ,200812,8150,71.92,0.283595417078381,1.7214,1.6511,0.22313,0.24694,0.32326,0.23683,0.10669,857.29,682.15,3.77,10.25,-2.23,-16.16,40.3226,-1,2008,1.0,2007,2008,gini,7,8
2408,南科         ,200812,28348,16.96,0.123500832319801,2.8126,2.1468,-0.31431,-1.3036,-0.72318,-0.99528,3.1474,56.65,32.55,9.25,6.33,-197.3,-194.83,92.8066,-1,2008,1.0,2007,2008,gini,7,9
3083,網龍         ,200812,8142,93.12,0.5508108749796,4.0735,5.0199,0.28079,0.34124,0.46982,0.42066,0.21528,511.49,508.14,0.0,6.3,29.7,12.57,355.3265,1,2008,1.0,2007,2008,gini,7,10
