證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label,年份,PE_ratio,PB_ratio,PS_ratio,ROE,ROA,OPM,NPM,DE_ratio,CR,QR,ITR,RTR,OIG,NIG,profitability_score,liquidity_score,efficiency_score,growth_score,valuation_score,predicted_return,訓練年份,測試年份,使用C參數,使用gamma參數,使用epsilon參數,排名
1304,台聚         ,199912,16883,12.72,0.546593114590323,0.93461,1.7716,0.043448,0.078203,0.073304,0.15808,0.79991,111.18,76.14,8.22,13.21,41.69,76.64,-68.6321,-1,1999,0.16597077027699936,0.93461,1.7716,0.043448,0.078203,0.073304,0.15808,0.79991,111.18,76.14,8.22,13.21,41.69,76.64,0.08825875,93.66,10.715,59.165,1.353105,39.53002441479631,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,11
2321,東訊         ,199912,13292,38.26,0.662009598359135,2.1976,0.85326,0.070879,0.11731,0.019928,0.048275,0.65511,180.27,114.79,6.15,5.47,-22.9,17.72,-59.0173,-1,1999,2.1591420903418683,2.1976,0.85326,0.070879,0.11731,0.019928,0.048275,0.65511,180.27,114.79,6.15,5.47,-22.9,17.72,0.064098,147.53,5.8100000000000005,-2.59,1.52543,37.74065067273942,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,12
2355,敬鵬         ,199912,8973,15.43,0.741257943454207,0.57297,0.58204,0.059324,0.089188,0.074025,0.090592,0.50339,194.62,170.31,13.77,4.24,-2.03,-3.33,-57.3558,-1,1999,-4.633635025115623,0.57297,0.58204,0.059324,0.089188,0.074025,0.090592,0.50339,194.62,170.31,13.77,4.24,-2.03,-3.33,0.07828225,182.465,9.004999999999999,-2.6799999999999997,0.5775049999999999,37.681575129110364,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,13
2312,金寶         ,199912,46480,23.97,0.676122303863752,1.2957,0.70396,0.18787,0.28975,0.03944,0.16346,0.54225,160.63,106.49,7.25,9.0,-28.07,178.23,-72.3821,-1,1999,0.13448914248729651,1.2957,0.70396,0.18787,0.28975,0.03944,0.16346,0.54225,160.63,106.49,7.25,9.0,-28.07,178.23,0.17013,133.56,8.125,75.08,0.99983,34.413645679498856,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,14
2489,瑞軒         ,199912,6601,11.44,0.514423456505704,0.54167,0.19596,0.072816,0.11458,0.03817,0.041451,0.57352,240.39,189.49,14.39,5.6,-22.2,18.82,-50.4371,-1,1999,0.6078639421963898,0.54167,0.19596,0.072816,0.11458,0.03817,0.041451,0.57352,240.39,189.49,14.39,5.6,-22.2,18.82,0.06675425,214.94,9.995000000000001,-1.6899999999999995,0.368815,32.612936072581576,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,15
2356,英業達       ,199912,95190,20.56,0.0908232857874395,1.3137,0.36178,0.080304,0.17186,0.040371,0.048816,1.14,155.11,92.13,7.16,5.34,-22.53,-7.55,-57.2471,-1,1999,-2.7231791686330022,1.3137,0.36178,0.080304,0.17186,0.040371,0.048816,1.14,155.11,92.13,7.16,5.34,-22.53,-7.55,0.08533774999999999,123.62,6.25,-15.040000000000001,0.83774,32.12253641267543,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,16
2010,春源         ,199912,6407,5.09,0.748705718215691,0.33911,0.23115,0.034932,0.059068,0.033347,0.040261,0.69095,178.8,109.99,3.97,3.85,45.68,134.03,-30.0589,1,1999,0.03797657212581831,0.33911,0.23115,0.034932,0.059068,0.033347,0.040261,0.69095,178.8,109.99,3.97,3.85,45.68,134.03,0.041901999999999995,144.395,3.91,89.855,0.28513,31.917892200845976,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,17
5307,耀文         ,199912,7091,16.98,0.216018915961394,1.092,1.0652,0.025649,0.045112,0.039304,0.044011,0.75882,155.45,93.09,8.71,4.69,-66.46,-62.79,-19.3757,1,1999,-0.27042523125378615,1.092,1.0652,0.025649,0.045112,0.039304,0.044011,0.75882,155.45,93.09,8.71,4.69,-66.46,-62.79,0.038519,124.27,6.700000000000001,-64.625,1.0786,31.145979822060617,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,18
2015,豐興         ,199912,7406,6.26,0.82172118496131,0.52605,0.39198,0.034416,0.055998,0.065113,0.041725,0.62711,113.77,44.91,4.58,14.2,524.84,194.96,-26.5176,1,1999,0.03210915043029775,0.52605,0.39198,0.034416,0.055998,0.065113,0.041725,0.62711,113.77,44.91,4.58,14.2,524.84,194.96,0.049312999999999996,79.34,9.39,359.90000000000003,0.459015,26.644017269619397,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,19
5353,台林         ,199912,6620,58.18,0.989872153631504,2.8902,2.7162,0.10667,0.13337,0.094918,0.12538,0.25026,381.34,181.12,2.08,6.57,-4.69,34.32,-75.2836,-1,1999,1.6952213958268825,2.8902,2.7162,0.10667,0.13337,0.094918,0.12538,0.25026,381.34,181.12,2.08,6.57,-4.69,34.32,0.11508449999999999,281.23,4.325,14.815,2.8032000000000004,26.441242658669445,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,20
1305,華夏         ,199912,9770,22.42,0.525404403859336,1.6682,1.0969,0.016448,0.035105,0.038838,0.024333,1.1343,186.06,104.1,5.57,5.42,8.89,252.56,-85.281,-1,1999,0.0887709847609638,1.6682,1.0969,0.016448,0.035105,0.038838,0.024333,1.1343,186.06,104.1,5.57,5.42,8.89,252.56,0.028680999999999998,145.07999999999998,5.495,130.725,1.38255,26.384285328459168,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,21
1515,力山         ,199912,6205,21.85,0.0899506787705811,1.5833,0.83524,0.045736,0.084575,0.097893,0.048707,0.84918,120.48,83.04,9.04,7.4,-27.02,-36.93,-59.0847,-1,1999,-0.5916599131237453,1.5833,0.83524,0.045736,0.084575,0.097893,0.048707,0.84918,120.48,83.04,9.04,7.4,-27.02,-36.93,0.06922775,101.76,8.219999999999999,-31.975,1.20927,25.881138619772017,1998,1999,741.1446089423836,5.468287597407738,0.050342626090411735,22
